id,titulo,isbn,autor_id,genero_id,anio_publicacion,editorial,ejemplares_totales,ubicacion,notas,portada_url,descripcion,paginas,idioma,saga,resena,puntuacion,creado_en
283,Novelas Inolvidables: La Sirenita,97884471734646,189,,,Salvat,1,,,https://www.salvat.com/41433-large_default/la-sirenita.jpg,,232,,,,,2026-07-14 23:26:37.248754
284,"Novelas Inolvidables: Frozen, El Reino de Hielo",97884471734643,189,,,Salvat,1,,,https://www.salvat.com/41179-large_default/frozen-el-reino-del-hielo.jpg,,282,,,,,2026-07-14 23:26:37.606139
285,Novelas Inolvidables: Blancanieves,97884471734641,189,,,Salvat,1,,,https://www.salvat.com/41178-large_default/blancanieves.jpg,,255,,,,,2026-07-14 23:26:37.963003
286,Novelas Inolvidables: Coco,97884471734645,189,,,Salvat,1,,,https://www.salvat.com/41432-large_default/coco.jpg,,233,,,,,2026-07-14 23:26:38.319969
287,Novelas Inolvidables: El Rey León,97884471734644,189,,,Salvat,1,,,https://www.salvat.com/41429-large_default/rey-leon.jpg,,250,,,,,2026-07-14 23:26:38.676992
288,Novelas Inolvidables: La Bella y la Bestia,97884471734642,189,,,Salvat,1,,,https://www.salvat.com/41734-large_default/la-bella-y-la-bestia.jpg,,282,,,,,2026-07-14 23:26:39.033988
289,Riverdale: El Día Anterior,9789874132239,288,,,PUCK,1,,,,,,,,,,2026-07-14 23:26:39.391033
290,Diario de Greg 17: Superretorcidos,9789878121000,11,,,Molino,1,,,,"Greg Heffley está a punto de descubrir que el salto a la fama no es un camino de rosas.
Cuando decide irse de gira con el grupo de rock de su hermano Rodrick, los Celebros Retorcidos, Greg no sabe dónde se está metiendo. Pero pronto comprobará que acostarse muy tarde, actuar sin co-brar, pelearse con los colegas y estar en quiebra forma parte de la vida rocanrolera.
¿Podrá Greg ayudar a los Celebros Retorcidos a convertirse en la leyenda que creen ser? ¿O acabarán haciendo el ridículo una y otra vez?",,,,,,2026-07-14 23:26:39.748059
291,Blue Lock: 10,9788419673046,268,31,,Ivrea,1,A2,,https://images.cdn2.buscalibre.com/fit-in/360x360/5d/ff/5dff786fa0b2d969f82f134f645103d0.jpg,,,Español,Blue Lock,Muy bueno,4.0,2026-07-14 23:26:40.283464
293,Black Bird Academy: Muerte a la Oscuridad,9788410399013,292,,,Inlov,1,,,https://acdn-us.mitiendanube.com/stores/004/088/117/products/725636-103fe738792578eea217359611382111-640-0.webp,,601,,,,,2026-07-14 23:26:40.997514
294,Black Bird Academy: Amor a la Muerte,9788410399044,292,,,Inlov,1,,,https://acdn-us.mitiendanube.com/stores/004/088/117/products/9788410399044-f84ed4bd8a89072eae17630503773721-640-0.webp,,708,,,,,2026-07-14 23:26:41.355801
295,Cruella,9789504979180,294,,,Planeta Junior,1,,,https://www.planetadelibros.com.ar/usuaris/libros/fotos/366/original/365022_portada_cruella-manga_arina-tanemura_202202071545.jpg,,,,,,,2026-07-14 23:26:41.712537
296,Alas de ónix,9786073925044,295,,,Planeta,1,,,http://books.google.com/books/content?id=tzQI0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,888,,,,,2026-07-14 23:26:42.069683
297,Trono de Cristal,9788410163706,296,,,Editorial Hidra,1,,,,,484,,,,,2026-07-14 23:26:42.427004
298,Zoo loco,9789870401735,39,,,Alfaguara,1,,,,,,,,,,2026-07-14 23:26:42.784273
292,Blue Lock: 11,9788419673404,268,31,,Ivrea,1,,,https://images.cdn2.buscalibre.com/fit-in/360x360/18/08/18086e2a8fe79ba516b5252735eefc2e.jpg,,,,,,,2026-07-14 23:26:40.640706
302,Alicia en el país de las maravillas,9788494458071,304,1,2022,Neverland,1,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnzqLYIZ9O1nwyk8-Min2Z8KE9FrCk_ukXcm3-F2aGtA&s=10,"Alicia se aburre. Alicia desea vivir una aventura... y eso es lo que le sucederá cuando se cruce con un conejo blanco que llega tarde y lo siga por su madriguera hasta una tierra diferente, un mundo plagado de cosas extrañas y maravillosas, donde las orugas fuman en pipa,los gatos se desvanecen ante sus ojos, se celebran los no cumpleaños y las reinas cortan cabezas.",288,,,"A comparación de la película es otra versión totalmente distinta.
",4.5,2026-07-18 16:35:13.966882
299,Blue Lock: 12,9788419730398,268,31,,Ivrea,1,A3,,https://images.cdn3.buscalibre.com/fit-in/360x360/73/db/73dbacf812eec31cddf599389b47b504.jpg,,,Español,Blue Lock,Muy bueno,5.0,2026-07-14 23:48:07.791282
305,Blue Lock: 14,,268,31,2021,Ivrea,1,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRiBa8VOGMv70Yj33n7Y_01kH5y0wTmLKhDFfJQYMV7gA&s=10,,,,Blue Lock,,5.0,2026-07-18 16:56:51.469937
304,Blue Lock: 13,,268,31,,Ivrea,1,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShdgOCqLb0hrxVBmqo1BolB5IX-T5EoUzXWYjGfxQdAg&s=10,,,,,,5.0,2026-07-18 16:53:00.315334
306,Blue Lock: 15,,268,31,2021,Ivrea,1,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSwOiW0I3uwB0xdGN0CmIQQiZuCLxREU_uQV54WZpdTQ&s,,,,Blue Lock,,5.0,2026-07-18 16:59:59.41441
307,Blue Lock: 16,,268,31,2021,Ivrea,1,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnXe1aO9dVFxCgXhgs-ykadkP0bkv--pfkIUvOHnkKcw&s=10,,,Español,Blue Lock,,5.0,2026-07-18 17:03:01.71235
308,Blue Lock: 17,,268,31,2021,Ivrea,1,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsri2d9MbdFkIlgtull3JAObdxS_kx0YSkbzlJ5O5Thw&s,,,,Blue Lock,,5.0,2026-07-18 17:05:43.593991
